city,lat,lng,country,iso2,admin_name,capital,population,population_proper,source
Worragee,-34.9144,150.6386,Australia,AU,New South Wales,,5068,5068,https://simplemaps.com/data/au-cities
Tahmoor,-34.2233,150.5928,Australia,AU,New South Wales,,5067,5067,https://simplemaps.com/data/au-cities
Red Cliffs,-34.3075,142.1881,Australia,AU,Victoria,,5060,5060,https://simplemaps.com/data/au-cities
Glenbrook,-33.765,150.6267,Australia,AU,New South Wales,,5051,5051,https://simplemaps.com/data/au-cities
Nairne,-35.0333,138.9167,Australia,AU,South Australia,,5042,5042,https://simplemaps.com/data/au-cities
Kiama Downs,-34.6317,150.8511,Australia,AU,New South Wales,,5004,5004,https://simplemaps.com/data/au-cities
Hazelbrook,-33.725,150.4572,Australia,AU,New South Wales,,4974,4974,https://simplemaps.com/data/au-cities
Encounter Bay,-35.5742,138.6005,Australia,AU,South Australia,,4901,4901,https://simplemaps.com/data/au-cities
Boulder,-30.7819,121.4886,Australia,AU,Western Australia,,4825,4825,https://simplemaps.com/data/au-cities
Picton,-34.1817,150.6011,Australia,AU,New South Wales,,4816,4816,https://simplemaps.com/data/au-cities
Albury,-36.0806,146.9158,Australia,AU,New South Wales,,4804,4804,https://simplemaps.com/data/au-cities
Mansfield,-37.05,146.083,Australia,AU,Victoria,,4787,4787,https://simplemaps.com/data/au-cities
Churchill,-38.3167,146.417,Australia,AU,Victoria,,4783,4783,https://simplemaps.com/data/au-cities
Bucasia,-21.0311,149.1597,Australia,AU,Queensland,,4771,4771,https://simplemaps.com/data/au-cities
Temora,-34.4483,147.5344,Australia,AU,New South Wales,,4693,4693,https://simplemaps.com/data/au-cities
Renmark,-34.1741,140.7418,Australia,AU,South Australia,,4634,4634,https://simplemaps.com/data/au-cities
Tanunda,-34.5167,138.9667,Australia,AU,South Australia,,4588,4588,https://simplemaps.com/data/au-cities
Loxton,-34.4539,140.5669,Australia,AU,South Australia,,4568,4568,https://simplemaps.com/data/au-cities
Glenella,-21.1197,149.1542,Australia,AU,Queensland,,4519,4519,https://simplemaps.com/data/au-cities
Numurkah,-36.0833,145.4333,Australia,AU,Victoria,,4477,4477,https://simplemaps.com/data/au-cities
Korumburra,-38.4333,145.8167,Australia,AU,Victoria,,4469,4469,https://simplemaps.com/data/au-cities
Rasmussen,-19.3497,146.716,Australia,AU,Queensland,,4456,4456,https://simplemaps.com/data/au-cities
Tatura,-36.4401,145.233,Australia,AU,Victoria,,4448,4448,https://simplemaps.com/data/au-cities
Old Bar,-31.9667,152.583,Australia,AU,New South Wales,,4389,4389,https://simplemaps.com/data/au-cities
Narrandera,-34.7483,146.5511,Australia,AU,New South Wales,,4375,4369,https://simplemaps.com/data/au-cities
George Town,-41.1,146.8167,Australia,AU,Tasmania,,4347,4347,https://simplemaps.com/data/au-cities
Wyong,-33.282,151.418,Australia,AU,New South Wales,,4326,4326,https://simplemaps.com/data/au-cities
Broadford,-37.2,145.067,Australia,AU,Victoria,,4319,4319,https://simplemaps.com/data/au-cities
Drysdale,-38.1667,144.5667,Australia,AU,Victoria,,4275,4275,https://simplemaps.com/data/au-cities
Cockatoo,-37.935,145.492,Australia,AU,Victoria,,4256,4256,https://simplemaps.com/data/au-cities
Victor Harbor,-35.55,138.6167,Australia,AU,South Australia,,4233,4233,https://simplemaps.com/data/au-cities
Moama,-36.0983,144.7511,Australia,AU,New South Wales,,4198,4198,https://simplemaps.com/data/au-cities
Latrobe,-41.2464,146.4246,Australia,AU,Tasmania,,4169,4169,https://simplemaps.com/data/au-cities
Berri,-34.2833,140.6,Australia,AU,South Australia,,4088,4088,https://simplemaps.com/data/au-cities
Wellington,-32.5483,148.9344,Australia,AU,New South Wales,,4077,4077,https://simplemaps.com/data/au-cities
Thirlmere,-34.2,150.5667,Australia,AU,New South Wales,,4046,4046,https://simplemaps.com/data/au-cities
Legana,-41.3667,147.05,Australia,AU,Tasmania,,4029,4029,https://simplemaps.com/data/au-cities
The Entrance,-33.3472,151.496,Australia,AU,New South Wales,,4006,4006,https://simplemaps.com/data/au-cities
Cobar,-31.4997,145.8319,Australia,AU,New South Wales,,3990,3603,https://simplemaps.com/data/au-cities
Gerringong,-34.7483,150.8344,Australia,AU,New South Wales,,3966,3966,https://simplemaps.com/data/au-cities
Margate,-43.0294,147.2617,Australia,AU,Tasmania,,3920,3920,https://simplemaps.com/data/au-cities
Trafalgar,-38.2,146.15,Australia,AU,Victoria,,3912,3912,https://simplemaps.com/data/au-cities
Somerset,-41.05,145.8333,Australia,AU,Tasmania,,3903,3903,https://simplemaps.com/data/au-cities
Kerang,-35.7167,143.9167,Australia,AU,Victoria,,3893,3893,https://simplemaps.com/data/au-cities
Roxby Downs,-30.5625,136.8785,Australia,AU,South Australia,,3884,3671,https://simplemaps.com/data/au-cities
Smithton,-40.844,145.12,Australia,AU,Tasmania,,3881,3881,https://simplemaps.com/data/au-cities
Longford,-41.5958,147.122,Australia,AU,Tasmania,,3863,3863,https://simplemaps.com/data/au-cities
Beechworth,-36.3594,146.6869,Australia,AU,Victoria,,3859,3859,https://simplemaps.com/data/au-cities
Penguin,-41.1167,146.0708,Australia,AU,Tasmania,,3849,3849,https://simplemaps.com/data/au-cities
Anna Bay,-32.7817,152.0844,Australia,AU,New South Wales,,3846,3846,https://simplemaps.com/data/au-cities
McLaren Vale,-35.2198,138.5411,Australia,AU,South Australia,,3842,3842,https://simplemaps.com/data/au-cities
Pearcedale,-38.203,145.231,Australia,AU,Victoria,,3821,3821,https://simplemaps.com/data/au-cities
Peregian Beach,-26.481,153.096,Australia,AU,Queensland,,3791,3791,https://simplemaps.com/data/au-cities
Bellingen,-30.4483,152.9011,Australia,AU,New South Wales,,3779,3779,https://simplemaps.com/data/au-cities
Suffolk Park,-28.6983,153.6178,Australia,AU,New South Wales,,3750,3750,https://simplemaps.com/data/au-cities
Buninyong,-37.6503,143.8839,Australia,AU,Victoria,,3714,3714,https://simplemaps.com/data/au-cities
Weston,-32.8103,151.4561,Australia,AU,New South Wales,,3693,3693,https://simplemaps.com/data/au-cities
Sawtell,-30.365,153.1011,Australia,AU,New South Wales,,3682,3682,https://simplemaps.com/data/au-cities
Silverdale,-33.915,150.6094,Australia,AU,New South Wales,,3682,3682,https://simplemaps.com/data/au-cities
Bay View,-33.6592,151.2861,Australia,AU,New South Wales,,3620,3620,https://simplemaps.com/data/au-cities
Lismore,-28.8167,153.2833,Australia,AU,New South Wales,,3579,3579,https://simplemaps.com/data/au-cities
Koo-Wee-Rup,-38.198,145.489,Australia,AU,Victoria,,3579,3579,https://simplemaps.com/data/au-cities
Merimbula,-36.8983,149.9011,Australia,AU,New South Wales,,3544,3544,https://simplemaps.com/data/au-cities
Scarness,-25.2833,152.85,Australia,AU,Queensland,,3519,3519,https://simplemaps.com/data/au-cities
Lake Cathie,-31.5483,152.8511,Australia,AU,New South Wales,,3494,3494,https://simplemaps.com/data/au-cities
Condobolin,-33.065,147.1511,Australia,AU,New South Wales,,3486,3185,https://simplemaps.com/data/au-cities
Paynesville,-37.9167,147.7167,Australia,AU,Victoria,,3480,3480,https://simplemaps.com/data/au-cities
Maddingley,-37.6864,144.4336,Australia,AU,Victoria,,3453,3453,https://simplemaps.com/data/au-cities
Hurstbridge,-37.6389,145.195,Australia,AU,Victoria,,3450,3450,https://simplemaps.com/data/au-cities
Quirindi,-31.4983,150.6844,Australia,AU,New South Wales,,3444,3355,https://simplemaps.com/data/au-cities
Blayney,-33.5317,149.2511,Australia,AU,New South Wales,,3378,3378,https://simplemaps.com/data/au-cities
Camperdown,-38.236,143.145,Australia,AU,Victoria,,3369,3354,https://simplemaps.com/data/au-cities
Aldgate,-35.0153,138.736,Australia,AU,South Australia,,3361,3361,https://simplemaps.com/data/au-cities
Port Fairy,-38.384,142.235,Australia,AU,Victoria,,3340,3340,https://simplemaps.com/data/au-cities
Vincentia,-35.0758,150.6742,Australia,AU,New South Wales,,3290,3290,https://simplemaps.com/data/au-cities
Euroa,-36.75,145.567,Australia,AU,Victoria,,3275,3275,https://simplemaps.com/data/au-cities
Marcoola,-26.5833,153.083,Australia,AU,Queensland,,3173,3173,https://simplemaps.com/data/au-cities
Mullumbimby,-28.55,153.5,Australia,AU,New South Wales,,3172,3172,https://simplemaps.com/data/au-cities
Tura Beach,-36.8483,149.9261,Australia,AU,New South Wales,,3158,3158,https://simplemaps.com/data/au-cities
Eden,-37.065,149.9011,Australia,AU,New South Wales,,3151,3151,https://simplemaps.com/data/au-cities
West Wyalong,-33.9317,147.2011,Australia,AU,New South Wales,,3141,3037,https://simplemaps.com/data/au-cities
Gilgandra,-31.7067,148.6678,Australia,AU,New South Wales,,3126,2983,https://simplemaps.com/data/au-cities
Robinvale,-34.5833,142.7667,Australia,AU,Victoria,,3088,3088,https://simplemaps.com/data/au-cities
Wilton,-34.24,150.7011,Australia,AU,New South Wales,,3080,3080,https://simplemaps.com/data/au-cities
Riverview,-27.5928,152.848,Australia,AU,Queensland,,3073,3067,https://simplemaps.com/data/au-cities
Bogangar,-28.3317,153.5594,Australia,AU,New South Wales,,3060,3060,https://simplemaps.com/data/au-cities
Shoalhaven Heads,-34.85,150.7417,Australia,AU,New South Wales,,3059,3059,https://simplemaps.com/data/au-cities
Urunga,-30.4983,153.0178,Australia,AU,New South Wales,,3000,3000,https://simplemaps.com/data/au-cities
Bonny Hills,-31.5817,152.8344,Australia,AU,New South Wales,,2971,2971,https://simplemaps.com/data/au-cities
Stirling,-35.0022,138.706,Australia,AU,South Australia,,2966,2966,https://simplemaps.com/data/au-cities
