PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI,x_centroid,y_centroid
4.16175e+06,5.09896e+07,locality,LURG,12006,LURG,VIC,4897,2002-01-14,0,2016-07-06,146.12480799939215,-36.582960354101822
4.16108e+06,5.29104e+07,locality,WINDERMERE,1644,WINDERMERE,VIC,4897,2002-01-14,0,2017-05-02,143.71708461508564,-37.483074145654882
1.38571e+07,5.09896e+07,locality,SWEDE FLAT (SA),18338,SWEDE FLAT (SA),SA,5734,2009-05-14,0,2016-07-06,140.52905780542253,-36.484364117935513
4.16116e+06,5.29061e+07,locality,MOUNT MACEDON,561,MOUNT MACEDON,VIC,4712,2002-01-14,0,2017-05-01,144.59438064705023,-37.393562103850087
1.33158e+07,5.09896e+07,locality,SPRINGFIELD (NSW),22443,SPRINGFIELD (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.12400260828696,-36.532492147354787
4.16173e+06,5.09896e+07,locality,TRAYNORS LAGOON,12016,TRAYNORS LAGOON,VIC,4897,2002-01-14,0,2016-07-06,142.98319890272049,-36.582770579827013
1.33158e+07,5.09896e+07,locality,BERMAGUI (NSW),22444,BERMAGUI (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.99809837752665,-36.444040382573995
1.38571e+07,5.09896e+07,locality,WESTERN FLAT (SA),18339,WESTERN FLAT (SA),SA,5734,2009-05-14,0,2016-07-06,140.70189169194057,-36.567762647694565
4.16175e+06,5.09896e+07,locality,INGLEWOOD,1295,INGLEWOOD,VIC,4897,2002-01-14,0,2016-07-06,143.85439921795876,-36.597103057714619
9.91039e+06,5.09896e+07,locality,MURCHISON NORTH,12787,MURCHISON NORTH,VIC,4897,2002-01-30,0,2016-07-06,145.26966679008348,-36.565727638041558
9.97179e+06,5.09896e+07,locality,WHOROULY SOUTH,13087,WHOROULY SOUTH,VIC,4712,2002-02-25,0,2016-07-06,146.59672720561801,-36.593618777998458
4.16106e+06,5.29104e+07,locality,CARDIGAN,12440,CARDIGAN,VIC,4897,2002-01-14,0,2017-05-02,143.73487953201462,-37.536571591140167
4.16175e+06,5.09896e+07,locality,HUNTLY NORTH,12007,HUNTLY NORTH,VIC,4897,2002-01-14,0,2016-07-06,144.33934209043119,-36.590562876098311
9.97179e+06,5.09896e+07,locality,ROSEWHITE,13088,ROSEWHITE,VIC,4712,2002-02-25,0,2016-07-06,146.88913210007223,-36.574277688023699
1.38571e+07,5.09899e+07,locality,WILD DOG VALLEY (SA),18349,WILD DOG VALLEY (SA),SA,5734,2009-05-14,0,2016-07-06,140.76680841985703,-36.872028717967851
1.33159e+07,5.09899e+07,locality,SOUTH WOLUMLA (NSW),22501,SOUTH WOLUMLA (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.76254016907293,-36.864959674901755
1.33159e+07,5.09899e+07,locality,MOUNT DARRAGH (NSW),22502,MOUNT DARRAGH (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.57726263787177,-36.847736033652737
4.16152e+06,5.09899e+07,locality,BARKLY,12171,BARKLY,VIC,4897,2002-01-14,0,2016-07-06,143.21729944871231,-36.938303634957784
4.16152e+06,5.09899e+07,locality,NEEREMAN,12172,NEEREMAN,VIC,4897,2002-01-14,0,2016-07-06,143.95341216519992,-36.919203194322222
4.16148e+06,5.09899e+07,locality,MYRTLE CREEK,7862,MYRTLE CREEK,VIC,4897,2002-01-14,0,2016-07-06,144.40587587036939,-36.936360894091287
4.16149e+06,5.09899e+07,locality,BRADFORD,12174,BRADFORD,VIC,4897,2002-01-14,0,2016-07-06,144.06392457662025,-36.919939450200189
4.16016e+06,5.31446e+07,locality,BREAMLEA,166,BREAMLEA,VIC,4712,2002-01-14,0,2017-07-20,144.38809094763857,-38.294116652163744
4.16149e+06,5.09899e+07,locality,BET BET,1101,BET BET,VIC,4897,2002-01-14,0,2016-07-06,143.75277535151588,-36.924904399675903
