PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
4.16129e+06,5.29467e+07,locality,REEDY CREEK,8554,REEDY CREEK,VIC,4897,2002-01-14,0,2017-05-09
4.1613e+06,5.29467e+07,locality,YEA,1669,YEA,VIC,4897,2002-01-14,0,2017-05-09
4.16128e+06,5.29467e+07,locality,TYAAK,12312,TYAAK,VIC,4897,2002-01-14,0,2017-05-09
4.16128e+06,5.29467e+07,locality,WILLOWMAVIN,845,WILLOWMAVIN,VIC,4712,2002-01-14,0,2017-05-09
1.67283e+07,5.29467e+07,locality,FLOWERDALE,12330,FLOWERDALE,VIC,4897,2014-03-17,4.16124e+06,2017-05-09
4.16125e+06,5.29467e+07,locality,KILMORE,452,KILMORE,VIC,4712,2002-01-14,0,2017-05-09
4.16125e+06,5.29467e+07,locality,CLONBINANE,234,CLONBINANE,VIC,4712,2002-01-14,0,2017-05-09
4.16123e+06,5.29467e+07,locality,MURRINDINDI,41,MURRINDINDI,VIC,4897,2002-01-14,0,2017-05-09
4.16111e+06,5.29467e+07,locality,KINGLAKE WEST,457,KINGLAKE WEST,VIC,4712,2002-01-14,0,2017-05-09
4.16058e+06,5.32662e+07,locality,BYADUK NORTH,12530,BYADUK NORTH,VIC,4897,2002-01-14,0,2017-09-12
4.16049e+06,5.32662e+07,locality,HOTSPUR,12535,HOTSPUR,VIC,4897,2002-01-14,0,2017-09-12
4.16045e+06,5.32662e+07,locality,GERRIGERRUP,12542,GERRIGERRUP,VIC,4897,2002-01-14,0,2017-09-12
9.91042e+06,5.09905e+07,locality,NAP NAP MARRA,12819,NAP NAP MARRA,VIC,4897,2002-01-30,0,2016-07-06
4.16104e+06,5.09905e+07,locality,BO PEEP,12443,BO PEEP,VIC,4897,2002-01-14,0,2016-07-06
4.16043e+06,5.32662e+07,locality,GREENWALD,1272,GREENWALD,VIC,4897,2002-01-14,0,2017-09-12
9.91042e+06,5.09905e+07,locality,BUDGEE BUDGEE,12820,BUDGEE BUDGEE,VIC,4897,2002-01-30,0,2016-07-06
4.16104e+06,5.09906e+07,locality,OAKLANDS JUNCTION,606,OAKLANDS JUNCTION,VIC,4712,2002-01-14,0,2016-07-06
4.16042e+06,5.32662e+07,locality,LYONS,1369,LYONS,VIC,4897,2002-01-14,0,2017-09-12
4.16104e+06,5.09906e+07,locality,CORNDALE,12445,CORNDALE,VIC,4897,2002-01-14,0,2016-07-06
4.16048e+06,5.32662e+07,locality,GAZETTE,12534,GAZETTE,VIC,4897,2002-01-14,0,2017-09-12
4.16104e+06,5.09906e+07,locality,DIXONS CREEK,288,DIXONS CREEK,VIC,4712,2002-01-14,0,2016-07-06
4.16103e+06,5.09906e+07,locality,CAMBARVILLE,193,CAMBARVILLE,VIC,4712,2002-01-14,0,2016-07-06
4.16042e+06,5.32662e+07,locality,WARRABKOOK,12543,WARRABKOOK,VIC,4897,2002-01-14,0,2017-09-12
4.16102e+06,5.09906e+07,locality,GORDON,1262,GORDON,VIC,4897,2002-01-14,0,2016-07-06
4.16102e+06,5.09906e+07,locality,GISBORNE SOUTH,361,GISBORNE SOUTH,VIC,4712,2002-01-14,0,2016-07-06
9.97189e+06,5.09906e+07,locality,MALLACOOTA,11283,MALLACOOTA,VIC,4712,2002-02-25,0,2016-07-06
4.16102e+06,5.09906e+07,locality,MYRNIONG,574,MYRNIONG,VIC,4712,2002-01-14,0,2016-07-06
4.16102e+06,5.09906e+07,locality,CARNGHAM,12447,CARNGHAM,VIC,4897,2002-01-14,0,2016-07-06
1.38571e+07,5.09906e+07,locality,NANGWARRY (SA),18373,NANGWARRY (SA),SA,5734,2009-05-14,0,2016-07-06
4.16034e+06,5.32662e+07,locality,ELLERSLIE,12558,ELLERSLIE,VIC,4897,2002-01-14,0,2017-09-12
4.16028e+06,5.32662e+07,locality,BALLANGEICH,12570,BALLANGEICH,VIC,4897,2002-01-14,0,2017-09-12
4.16023e+06,5.32662e+07,locality,GRASSMERE,12590,GRASSMERE,VIC,4897,2002-01-14,0,2017-09-12
4.1602e+06,5.32662e+07,locality,WINSLOW,12591,WINSLOW,VIC,4897,2002-01-14,0,2017-09-12
4.16009e+06,5.32662e+07,locality,PORTLAND WEST,12647,PORTLAND WEST,VIC,4897,2002-01-14,0,2017-09-12
1.52488e+07,5.32662e+07,locality,PORTLAND,1494,PORTLAND,VIC,4897,2011-06-03,4.16009e+06,2017-09-12
4.16095e+06,5.2884e+07,locality,SOUTH MORANG,717,SOUTH MORANG,VIC,4712,2002-01-14,0,2017-04-21
9.97193e+06,5.09909e+07,locality,WAYGARA,1629,WAYGARA,VIC,4712,2002-02-25,0,2016-07-06
4.16072e+06,5.09909e+07,locality,MOUNT EVELYN,560,MOUNT EVELYN,VIC,4712,2002-01-14,0,2016-07-06
4.16072e+06,5.09909e+07,locality,WARRANWOOD,823,WARRANWOOD,VIC,4712,2002-01-14,0,2016-07-06
4.16095e+06,5.2884e+07,locality,EPPING,317,EPPING,VIC,4712,2002-01-14,0,2017-04-21
4.16072e+06,5.09909e+07,locality,CROYDON HILLS,265,CROYDON HILLS,VIC,4712,2002-01-14,0,2016-07-06
4.16073e+06,5.09909e+07,locality,ALBION,62,ALBION,VIC,4712,2002-01-14,0,2016-07-06
